external_gene_name,Signature
CCL25,cellular extravasation
THY1,cellular extravasation
ICAM1,cellular extravasation
PTGER4,cellular extravasation
FUT7,cellular extravasation
LYVE1,cellular extravasation
CCL28,cellular extravasation
ADAM8,cellular extravasation
CCL21,cellular extravasation
PLVAP,cellular extravasation
AGER,cellular extravasation
FUT9,cellular extravasation
JAM3,cellular extravasation
ST3GAL4,cellular extravasation
CXCL12,cellular extravasation
DSG2,cell junction organization
DSG3,cell junction organization
JUP,cell junction organization
PKP3,cell junction organization
PRKCA,cell junction organization
PKP2,cell junction organization
SNAI2,cell junction organization
CDH1,cell junction organization
CTNNB1,cell junction organization
AFDN,cell junction organization
FBF1,cell junction organization
CLDN5,cell junction organization
GJA5,cell junction organization
PECAM1,cell junction organization
RHOC,cell junction organization
ABI2,cell junction organization
RHOA,cell junction organization
FSCN1,cell junction organization
OCLN,cell junction organization
SMAD7,cell junction organization
PAK2,cell junction organization
GJB2,cell junction organization
CLDN11,cell junction organization
PKN2,cell junction organization
GJB6,cell junction organization
WDR1,cell junction organization
CLDN3,cell junction organization
RAB13,cell junction organization
CNTNAP1,cell junction organization
ACTB,cell junction organization
DLG1,cell junction organization
CDH5,cell junction organization
GJD3,cell junction organization
RAMP2,cell junction organization
ACTG1,cell junction organization
VCL,cell junction organization
GRHL2,cell junction organization
POF1B,cell junction organization
MARVELD3,cell junction organization
ESAM,cell junction organization
JAM3,cell junction organization
FRMPD2,cell junction organization
CLDN1,cell junction organization
ECT2,cell junction organization
MARVELD2,cell junction organization
MPP7,cell junction organization
RCC2,cell junction organization
BCR,cell junction organization
DST,cell junction organization
ITGB4,cell junction organization
TAOK2,cell junction organization
ACTN2,cell junction organization
ARHGEF7,cell junction organization
PEAK1,cell junction organization
THSD1,cell junction organization
CDH11,cell junction organization
COL17A1,cell junction organization
ACTN3,cell junction organization
PIP5K1A,cell junction organization
PTPRK,cell junction organization
PLEC,cell junction organization
SRC,cell junction organization
RHOD,cell junction organization
WHAMM,cell junction organization
FERMT2,cell junction organization
LAMC1,cell junction organization
ACTN1,cell junction organization
IL1B,cell adhesion
CLECL1P,cell adhesion
BMP7,cell adhesion
PECAM1,cell adhesion
TNF,cell adhesion
MADCAM1,cell adhesion
UMOD,cell adhesion
ROCK1,cell adhesion
CD209,cell adhesion
SELL,cell adhesion
ICAM1,cell adhesion
S100A8,cell adhesion
ITGB2,cell adhesion
EZR,cell adhesion
SELPLG,cell adhesion
RAC2,cell adhesion
ADD2,cell adhesion
F11R,cell adhesion
ITGAL,cell adhesion
NT5E,cell adhesion
GCNT1,cell adhesion
CALCA,cell adhesion
SYK,cell adhesion
FERMT3,cell adhesion
LRG1,cell adhesion
SELE,cell adhesion
SELP,cell adhesion
CD44,cell adhesion
CD177,cell adhesion
ITGA4,cell adhesion
JAM2,cell adhesion
VCAM1,cell adhesion
MSN,cell adhesion
ITGB7,cell adhesion
TNIP1,cell adhesion
SEMA4D,cell adhesion
PODXL2,cell adhesion
CCL5,cell adhesion
APOA4,cell adhesion
S100A9,cell adhesion
ITGB1,cell adhesion
GOLPH3,cell adhesion
CD63,cell adhesion
FGA,cell adhesion
FGG,cell adhesion
RCC2,cell adhesion
ITGB5,cell adhesion
HOXD3,cell adhesion
BCR,cell adhesion
ITGAM,cell adhesion
ITGAV,cell adhesion
ADAM9,cell adhesion
ITGB4,cell adhesion
ITGA11,cell adhesion
TAOK2,cell adhesion
ITGB3,cell adhesion
ACTN2,cell adhesion
ARHGEF7,cell adhesion
EMILIN1,cell adhesion
ANGPTL3,cell adhesion
ITGA8,cell adhesion
PEAK1,cell adhesion
THSD1,cell adhesion
CDH11,cell adhesion
CD96,cell adhesion
ACTN3,cell adhesion
PIP5K1A,cell adhesion
TSC1,cell adhesion
ADAMTS12,cell adhesion
COL13A1,cell adhesion
CCL21,cell adhesion
PTPRK,cell adhesion
TIAM1,cell adhesion
VTN,cell adhesion
ITGA6,cell adhesion
HPSE,cell adhesion
BCAM,cell adhesion
ITGB1BP1,cell adhesion
COL3A1,cell adhesion
ITGB8,cell adhesion
SRC,cell adhesion
FGB,cell adhesion
RHOD,cell adhesion
WHAMM,cell adhesion
ITGA2,cell adhesion
EMP2,cell adhesion
ITGA10,cell adhesion
FERMT2,cell adhesion
L1CAM,cell adhesion
TMEM8B,cell adhesion
ITGA1,cell adhesion
ACTN1,cell adhesion
DDR1,cell adhesion
MELTF,extracellular matrix organization
PDPN,extracellular matrix organization
CLASP1,extracellular matrix organization
FSCN1,extracellular matrix organization
CLASP2,extracellular matrix organization
DPP4,extracellular matrix organization
CST3,extracellular matrix organization
FAP,extracellular matrix organization
FGFR4,extracellular matrix organization
CARMIL2,extracellular matrix organization
IL6,extracellular matrix organization
DDR1,extracellular matrix organization
PPP2CA,epithelial to mesenchymal transition
CTNNB1,epithelial to mesenchymal transition
MARK1,epithelial to mesenchymal transition
IL1B,epithelial to mesenchymal transition
FOXA1,epithelial to mesenchymal transition
TGFB1,epithelial to mesenchymal transition
